id,star_name,radius,mass,distance
0,Pisces,K0V+T7.5,0.798691378056286,
1,Pisces,K0V+T7.5,0.798691378056286,
2,Pisces,K0V+T7.5,0.798691378056286,
3,Pisces,K0V+T7.5,0.798691378056286,
4,Pisces,K0V+T7.5,0.798691378056286,
5,Pisces,K0V+T7.5,0.798691378056286,
6,Pisces,K0V+T7.5,0.798691378056286,
7,Pisces,K0V+T7.5,0.798691378056286,
8,Pisces,K0V+T7.5,0.798691378056286,
9,Pisces,K0V+T7.5,0.798691378056286,
10,Pisces,K0V+T7.5,0.798691378056286,
11,Pisces,K0V+T7.5,0.798691378056286,
12,Pisces,K0V+T7.5,0.798691378056286,
13,Pisces,K0V+T7.5,0.798691378056286,
14,Cancer,L8,,
15,Cancer,L8,,
16,Cancer,L8,,
17,Cancer,L8,,
18,Cancer,L8,,
19,Cancer,L8,,
20,Cancer,L8,,
21,Cancer,L8,,
22,Cancer,L8,,
23,Cancer,L8,,
24,Cancer,L8,,
25,Cancer,L8,,
26,Cancer,L8,,
27,Cancer,L8,,
28,Pictor,K2V,,
29,Pictor,K2V,,
30,Pictor,K2V,,
31,Pictor,K2V,,
32,Pictor,K2V,,
33,Pictor,K2V,,
34,Pictor,K2V,,
35,Pictor,K2V,,
36,Pictor,K2V,,
37,Pictor,K2V,,
38,Pictor,K2V,,
39,Pictor,K2V,,
40,Pictor,K2V,,
41,Pictor,K2V,,
42,Hydra,M1,,
43,Hydra,M1,,
44,Hydra,M1,,
45,Hydra,M1,,
46,Hydra,M1,,
47,Hydra,M1,,
48,Hydra,M1,,
49,Hydra,M1,,
50,Hydra,M1,,
51,Hydra,M1,,
52,Hydra,M1,,
53,Hydra,M1,,
54,Hydra,M1,,
55,Hydra,M1,,
56,Chamaeleon,K7,2.2,
57,Chamaeleon,K7,2.2,
58,Chamaeleon,K7,2.2,
59,Chamaeleon,K7,2.2,
60,Chamaeleon,K7,2.2,
61,Chamaeleon,K7,2.2,
62,Chamaeleon,K7,2.2,
63,Chamaeleon,K7,2.2,
64,Chamaeleon,K7,2.2,
65,Chamaeleon,K7,2.2,
66,Chamaeleon,K7,2.2,
67,Chamaeleon,K7,2.2,
68,Chamaeleon,K7,2.2,
69,Chamaeleon,K7,2.2,
70,Corona Borealis,L8,,
71,Corona Borealis,L8,,
72,Corona Borealis,L8,,
73,Corona Borealis,L8,,
74,Corona Borealis,L8,,
75,Corona Borealis,L8,,
76,Corona Borealis,L8,,
77,Corona Borealis,L8,,
78,Corona Borealis,L8,,
79,Corona Borealis,L8,,
80,Corona Borealis,L8,,
81,Corona Borealis,L8,,
82,Corona Borealis,L8,,
83,Corona Borealis,L8,,
84,Ursa Major,M2.5,,
85,Ursa Major,M2.5,,
86,Ursa Major,M2.5,,
87,Ursa Major,M2.5,,
88,Ursa Major,M2.5,,
89,Ursa Major,M2.5,,
90,Ursa Major,M2.5,,
91,Ursa Major,M2.5,,
92,Ursa Major,M2.5,,
93,Ursa Major,M2.5,,
94,Ursa Major,M2.5,,
95,Ursa Major,M2.5,,
96,Ursa Major,M2.5,,
97,Ursa Major,M2.5,,
98,Boötes,D4A+L4,,
99,Boötes,D4A+L4,,
100,Boötes,D4A+L4,,
101,Boötes,D4A+L4,,
102,Boötes,D4A+L4,,
103,Boötes,D4A+L4,,
104,Boötes,D4A+L4,,
105,Boötes,D4A+L4,,
106,Boötes,D4A+L4,,
107,Boötes,D4A+L4,,
108,Boötes,D4A+L4,,
