id,star name,distance,mass,radius,luminosity
0,Sun,0.000015813,1,1,1
1,Sun,0.000015813,1,1,1
2,Sun,0.000015813,1,1,1
3,Sun,0.000015813,1,1,1
4,Sun,0.000015813,1,1,1
5,Sun,0.000015813,1,1,1
6,Sun,0.000015813,1,1,1
7,Sun,0.000015813,1,1,1
8,Sirius,0008.6,2.1,1.71,25.4
9,Sirius,0008.6,2.1,1.71,25.4
10,Sirius,0008.6,2.1,1.71,25.4
11,Sirius,0008.6,2.1,1.71,25.4
12,Sirius,0008.6,2.1,1.71,25.4
13,Sirius,0008.6,2.1,1.71,25.4
14,Sirius,0008.6,2.1,1.71,25.4
15,Sirius,0008.6,2.1,1.71,25.4
16,Canopus,0310,15,71,"13,500"
17,Canopus,0310,15,71,"13,500"
18,Canopus,0310,15,71,"13,500"
19,Canopus,0310,15,71,"13,500"
20,Canopus,0310,15,71,"13,500"
21,Canopus,0310,15,71,"13,500"
22,Canopus,0310,15,71,"13,500"
23,Canopus,0310,15,71,"13,500"
24,Alpha Centauri,0004.4,1.1,1.2,2
25,Alpha Centauri,0004.4,1.1,1.2,2
26,Alpha Centauri,0004.4,1.1,1.2,2
27,Alpha Centauri,0004.4,1.1,1.2,2
28,Alpha Centauri,0004.4,1.1,1.2,2
29,Alpha Centauri,0004.4,1.1,1.2,2
30,Alpha Centauri,0004.4,1.1,1.2,2
31,Alpha Centauri,0004.4,1.1,1.2,2
32,Arcturus,0037,1.1,26,170
33,Arcturus,0037,1.1,26,170
34,Arcturus,0037,1.1,26,170
35,Arcturus,0037,1.1,26,170
36,Arcturus,0037,1.1,26,170
37,Arcturus,0037,1.1,26,170
38,Arcturus,0037,1.1,26,170
39,Arcturus,0037,1.1,26,170
40,Vega,0025,2.2,2.7,50
41,Vega,0025,2.2,2.7,50
42,Vega,0025,2.2,2.7,50
43,Vega,0025,2.2,2.7,50
44,Vega,0025,2.2,2.7,50
45,Vega,0025,2.2,2.7,50
46,Vega,0025,2.2,2.7,50
47,Vega,0025,2.2,2.7,50
48,Capella,0043,2.6,12,150
49,Capella,0043,2.6,12,150
50,Capella,0043,2.6,12,150
51,Capella,0043,2.6,12,150
52,Capella,0043,2.6,12,150
53,Capella,0043,2.6,12,150
54,Capella,0043,2.6,12,150
55,Capella,0043,2.6,12,150
56,Rigel,0860,23,78.9,"120,000"
57,Rigel,0860,23,78.9,"120,000"
58,Rigel,0860,23,78.9,"120,000"
59,Rigel,0860,23,78.9,"120,000"
60,Rigel,0860,23,78.9,"120,000"
61,Rigel,0860,23,78.9,"120,000"
62,Rigel,0860,23,78.9,"120,000"
63,Rigel,0860,23,78.9,"120,000"
64,Procyon,0011.4,1.5,1.9,7.7
65,Procyon,0011.4,1.5,1.9,7.7
66,Procyon,0011.4,1.5,1.9,7.7
67,Procyon,0011.4,1.5,1.9,7.7
68,Procyon,0011.4,1.5,1.9,7.7
69,Procyon,0011.4,1.5,1.9,7.7
70,Procyon,0011.4,1.5,1.9,7.7
71,Procyon,0011.4,1.5,1.9,7.7
72,Betelgeuse,0640[1],20,950,"60,000"
73,Betelgeuse,0640[1],20,950,"60,000"
74,Betelgeuse,0640[1],20,950,"60,000"
75,Betelgeuse,0640[1],20,950,"60,000"
76,Betelgeuse,0640[1],20,950,"60,000"
77,Betelgeuse,0640[1],20,950,"60,000"
78,Betelgeuse,0640[1],20,950,"60,000"
79,Betelgeuse,0640[1],20,950,"60,000"
80,Achernar,0144,6.7,9.3,"3,000"
81,Achernar,0144,6.7,9.3,"3,000"
82,Achernar,0144,6.7,9.3,"3,000"
83,Achernar,0144,6.7,9.3,"3,000"
84,Achernar,0144,6.7,9.3,"3,000"
85,Achernar,0144,6.7,9.3,"3,000"
86,Achernar,0144,6.7,9.3,"3,000"
87,Achernar,0144,6.7,9.3,"3,000"
88,Hadar,0390,10.5,8.6,"42,000"
89,Hadar,0390,10.5,8.6,"42,000"
90,Hadar,0390,10.5,8.6,"42,000"
91,Hadar,0390,10.5,8.6,"42,000"
92,Hadar,0390,10.5,8.6,"42,000"
93,Hadar,0390,10.5,8.6,"42,000"
94,Hadar,0390,10.5,8.6,"42,000"
95,Hadar,0390,10.5,8.6,"42,000"
96,Altair,0017,1.8,1.8,10.5
97,Altair,0017,1.8,1.8,10.5
98,Altair,0017,1.8,1.8,10.5
99,Altair,0017,1.8,1.8,10.5
100,Altair,0017,1.8,1.8,10.5
101,Altair,0017,1.8,1.8,10.5
102,Altair,0017,1.8,1.8,10.5
103,Altair,0017,1.8,1.8,10.5
104,Acrux,0320,18,8.9,"25,000"
105,Acrux,0320,18,8.9,"25,000"
106,Acrux,0320,18,8.9,"25,000"
107,Acrux,0320,18,8.9,"25,000"
108,Acrux,0320,18,8.9,"25,000"
109,Acrux,0320,18,8.9,"25,000"
110,Acrux,0320,18,8.9,"25,000"
